File	ID	Sex	Site	Location	Sym/allo	Call length	Call position	Sample rate
PNRf55i	PNRf55	F	PNR	boquete	allopatry	2000000	1	195312.5
PNRf55i	PNRf55	F	PNR	boquete	allopatry	2000000	2	195312.5
PNRf55ii	PNRf55	F	PNR	boquete	allopatry	2000000	1	195312.5
PNRf55iii	PNRf55	F	PNR	boquete	allopatry	2000000	1	195312.5
PNRf55iv	PNRf55	F	PNR	boquete	allopatry	2000000	1	195312.5
PNRf55v	PNRf55	F	PNR	boquete	allopatry	2000000	1	195312.5
PNRf68i	PNRf68	F	PNR	boquete	allopatry	1000000	1	195312.5
PNRf68ii	PNRf68	F	PNR	boquete	allopatry	1000000	1	195312.5
PNRf68iii	PNRf68	F	PNR	boquete	allopatry	1000000	1	195312.5
PNRf73i	PNRf73	F	PNR	boquete	allopatry	1000000	1	195312.5
PNRf73ii	PNRf73	F	PNR	boquete	allopatry	1000000	1	195312.5
PNRf73iii	PNRf73	F	PNR	boquete	allopatry	2000000	1	195312.5
PNRm26ii	PNRm26	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm26iii	PNRm26	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm26iv	PNRm26	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm33i	PNRm33	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm33ii	PNRm33	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm33iii	PNRm33	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm42ii	PNRm42	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm42iii	PNRm42	M	PNR	boquete	allopatry	2000000	1	195312.5
PNrm42iv	PNRm42	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm50i	PNRm50	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm50ii	PNRm50	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm50iii	PNRm50	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm52iii	PNRm52	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm52v	PNRm52	M	PNR	boquete	allopatry	1000000	1	195312.5
PNRm52vi	PNRm52	M	PNR	boquete	allopatry	1000000	1	195312.5
PNRm57i	PNRm57	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm57ii	PNRm57	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm57iii	PNRm57	M	PNR	boquete	allopatry	200000	1	195312.5
PNRm57iv	PNRm57	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm59i	PNRm59	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm59ii	PNRm59	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm59iii	PNRm59	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm64Bi	PNRm64B	M	PNR	boquete	allopatry	1000000	1	195312.5
PNRm64Bii	PNRm64B	M	PNR	boquete	allopatry	1000000	1	195312.5
PNRm64Biv	PNRm64B	M	PNR	boquete	allopatry	1000000	1	195312.5
PNRm64ii	PNRm64	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm64iii	PNRm64	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm64iv	PNRm64	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm67ii	PNRm67	M	PNR	boquete	allopatry	1000000	1	195312.5
PNRm67iii	PNRm67	M	PNR	boquete	allopatry	1000000	1	195312.5
PNRm67iv	PNRm67	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm70i	PNRm70	M	PNR	boquete	allopatry	1000000	1	195312.5
PNRm70ii	PNRm70	M	PNR	boquete	allopatry	1000000	1	195312.5
PNRm70iii	PNRm70	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm70iv	PNRm70	M	PNR	boquete	allopatry	1000000	1	195312.5
PNRm70iv	PNRm70	M	PNR	boquete	allopatry	1000000	2	195312.5
PNRm72ii	PNRm72	M	PNR	boquete	allopatry	1000000	1	195312.5
PNRm72iii	PNRm72	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm72iv	PNRm72	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm79i	PNRm79	M	PNR	boquete	allopatry	1000000	1	195312.5
PNRm79ii	PNRm79	M	PNR	boquete	allopatry	1000000	1	195312.5
PNRm79iv	PNRm79	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm80i	PNRm80	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm80ii	PNRm80	M	PNR	boquete	allopatry	2000000	1	195312.5
PNRm80iii	PNRm80	M	PNR	boquete	allopatry	1000000	1	195312.5
